id,name,county,state,countyFips,lat,lng,confidence,sourceDate,supportType,agencyType,signed,moa,locatedBy,displacedForDisplay
287g-27021-cass-county-sheriff-s-office-task-force-model-2025-02-28,Cass County Sheriff's Office,Cass County,MN,27021,46.951745,-94.333705,confirmed,2025-02-28,Task Force Model,County,2025-02-28,https://www.ice.gov/doclib/287gMOA/CassCoSheriffsOfficeMN_TFM_MOA_02.28.25.pdf,county-centroid,false
287g-27035-crow-wing-county-sheriff-s-office-task-force-model-2025-03-25,Crow Wing County Sheriff's Office,Crow Wing County,MN,27035,46.491653,-94.00535474850042,confirmed,2025-03-25,Task Force Model,County,2025-03-25,https://www.ice.gov/doclib/287gMOA/crowWingCoMN_TFM_MOA_03.19.25.pdf,county-centroid,true
287g-27035-crow-wing-county-sheriff-s-office-warrant-service-officer-2025-03-26,Crow Wing County Sheriff's Office,Crow Wing County,MN,27035,46.491653,-94.13608125149958,confirmed,2025-03-26,Warrant Service Officer,County,2025-03-26,https://www.ice.gov/doclib/287gMOA/CrowWingCoSheriffsOfficeMA_WSO_MOA_03262025.pdf,county-centroid,true
287g-27047-freeborn-county-sheriff-s-office-warrant-service-officer-2025-03-26,Freeborn County Sheriff's Office,Freeborn County,MN,27047,43.674202,-93.350289,confirmed,2025-03-26,Warrant Service Officer,County,2025-03-26,https://www.ice.gov/doclib/287gMOA/FreebornCountyMN_WSO_MOA031325.pdf,county-centroid,false
287g-27071-international-falls-police-department-task-force-model-2026-04-17,International Falls Police Department,Koochiching County,MN,27071,48.245374,-93.782896,confirmed,2026-04-17,Task Force Model,Municipality,2026-04-17,https://www.ice.gov/doclib/287gMOA/InternationalFallsPDMN_TFM_MOA_04172026.pdf,county-centroid,false
287g-27095-isle-police-department-task-force-model-2026-01-26,Isle Police Department,Mille Lacs County,MN,27095,45.929043,-93.56829887595134,confirmed,2026-01-26,Task Force Model,Municipality,2026-01-26,https://www.ice.gov/doclib/287gMOA/IslePoliceDeptMN_TFM_MOA_01262026.pdf,county-centroid,true
287g-27095-mille-lacs-county-sheriff-s-office-task-force-model-2025-06-18,Mille Lacs County Sheriff's Office,Mille Lacs County,MN,27095,45.929043,-93.69769312404867,confirmed,2025-06-18,Task Force Model,County,2025-06-18,https://www.ice.gov/doclib/287gMOA/MilleLacsCoSheriffsOfficeMN_TFM_MOA_06182025.pdf,county-centroid,true
287g-27061-itasca-county-sheriff-s-office-task-force-model-2025-02-27,Itasca County Sheriff's Office,Itasca County,MN,27061,47.490817,-93.611102,confirmed,2025-02-27,Task Force Model,County,2025-02-27,https://www.ice.gov/doclib/287gMOA/ItascaCoMN_TFM_MOA_02.25.25.pdf,county-centroid,false
287g-27067-kandiyohi-county-sheriff-s-office-warrant-service-officer-2025-05-22,Kandiyohi County Sheriff's Office,Kandiyohi County,MN,27067,45.152714,-95.004981,confirmed,2025-05-22,Warrant Service Officer,County,2025-05-22,https://www.ice.gov/doclib/287gMOA/KandiyohiCountySOMN_WSO_MOA_052225.pdf,county-centroid,false
287g-27141-sherburne-county-sheriff-s-office-jail-enforcement-model-2025-10-17,Sherburne County Sheriff's Office,Sherburne County,MN,27141,45.453166,-93.769164,confirmed,2025-10-17,Jail Enforcement Model,County,2025-10-17,https://www.ice.gov/doclib/287gMOA/SherburneCountySOMN_JEM_MOA_10172025.pdf,county-centroid,false
