id,name,county,state,countyFips,lat,lng,confidence,sourceDate,agencyType,address,city,subStation,jurisdictionId,jurisdictionName
agency-building-aitkin-police-109-1st-avenue-northwest,AITKIN POLICE,Aitkin County,MN,27001,46.53273290018,-93.7084440996233,confirmed,,Police,109 1ST AVENUE NORTHWEST,AITKIN,,,
agency-building-annandale-police-30-cedar-street-east,ANNANDALE POLICE,Wright County,MN,27171,45.2638375002553,-94.1234055998136,confirmed,,Police,30 CEDAR STREET EAST,ANNANDALE,,,
agency-building-ada-police-410-west-main-street,ADA POLICE,Norman County,MN,27107,47.300519799878,-96.5167759000315,confirmed,,Police,410 WEST MAIN STREET,ADA,,,
agency-building-freeborn-county-sheriff-411-south-broadway-avenue-freeborn-county-government-center,FREEBORN COUNTY SHERIFF,Freeborn County,MN,27047,43.64611723432,-93.367718073752,confirmed,,Sheriff,"411 SOUTH BROADWAY AVENUE, FREEBORN COUNTY GOVERNMENT CENTER",ALBERT LEA,,,
agency-building-aitkin-county-sheriff-217-2nd-street-northwest,AITKIN COUNTY SHERIFF,Aitkin County,MN,27001,46.5328120012314,-93.7103560002121,confirmed,,Sheriff,217 2ND STREET NORTHWEST,AITKIN,,,
agency-building-alden-police-174-north-broadway,ALDEN POLICE,Freeborn County,MN,27047,43.6714358112976,-93.5759088311373,confirmed,,Police,174 NORTH BROADWAY,ALDEN,,,
agency-building-norman-county-sheriff-15-2nd-avenue-east,NORMAN COUNTY SHERIFF,Norman County,MN,27107,47.2981874001106,-96.5134790002937,confirmed,,Sheriff,15 2ND AVENUE EAST,ADA,,,
agency-building-albert-lea-police-411-south-broadway-avenue-freeborn-county-government-center,ALBERT LEA POLICE,Freeborn County,MN,27047,43.6460101590259,-93.3681832070331,confirmed,,Police,"411 SOUTH BROADWAY AVENUE, FREEBORN COUNTY GOVERNMENT CENTER",ALBERT LEA,,,
agency-building-brown-county-sheriff-15-south-washington-street,BROWN COUNTY SHERIFF,Brown County,MN,27015,44.3108032999764,-94.4620773996156,confirmed,,Sheriff,15 SOUTH WASHINGTON STREET,NEW ULM,,,
agency-building-sibley-county-sheriff-419-harrison-street,SIBLEY COUNTY SHERIFF,Sibley County,MN,27143,44.5561789002213,-94.220240800219,confirmed,,Sheriff,419 HARRISON STREET,GAYLORD,,,
