id,name,county,state,countyFips,lat,lng,confidence,sourceDate,agencyName,reportedLocation,jurisdictionId,locatedBy,ambiguousJunction,statute,sourceUrl,crossSourceSiteId,crossSourceCount,crossSourceMeters,crossSourceThresholdM,crossSourceContested,crossSourceAnchorAmbiguous,crossSourceNearMiss,crossSourceNearMissMeters,crossSourceNearMissSiteId
alpr-reported-alexandria-police-department-viking-trail-at-highway-45-eastbound,Reported ALPR — Viking Trail at Highway 45 eastbound,Douglas County,MN,27041,45.89271924285715,-95.40412867142857,confirmed,,Alexandria Police Department,Viking Trail at Highway 45 eastbound,,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,,0,,50,false,false,false,,
alpr-reported-alexandria-police-department-50th-avenue-at-hwy-29-eastbound,Reported ALPR — 50th Avenue at Hwy. 29 eastbound,Douglas County,MN,27041,45.84599505,-95.388092725,confirmed,,Alexandria Police Department,50th Avenue at Hwy. 29 eastbound,,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,,0,,50,false,false,false,,
alpr-reported-alexandria-police-department-44th-ave-west-at-s-broadway-street-westbound,Reported ALPR — 44th Ave. West at S. Broadway Street westbound,Douglas County,MN,27041,45.8515453,-95.3780905,confirmed,,Alexandria Police Department,44th Ave. West at S. Broadway Street westbound,,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,,0,,50,false,false,false,,
alpr-reported-alexandria-police-department-dakota-street-at-frontage-road-westbound,Reported ALPR — Dakota Street at Frontage Road westbound,Douglas County,MN,27041,45.8506108,-95.3886641,confirmed,,Alexandria Police Department,Dakota Street at Frontage Road westbound,,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,,0,,50,false,false,false,,
alpr-reported-anoka-county-sheriff-s-office-viking-boulevard-nw-and-baugh-street-nw-in-nowthen,Reported ALPR — Viking Boulevard NW and Baugh Street NW in Nowthen,Anoka County,MN,27003,45.3282772,-93.5006968,confirmed,,Anoka County Sheriff's Office,Viking Boulevard NW and Baugh Street NW in Nowthen,agency-jurisdiction-anoka-county-sheriff,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,cross-alpr-reported-anoka-county-sheriff-s-office-viking-boulevard-nw-and-baugh-street-nw-in-nowthen,1,18,50,false,false,false,,
alpr-reported-anoka-county-sheriff-s-office-viking-boulevard-ne-and-lyons-street-ne-in-lynwood,Reported ALPR — Viking Boulevard NE and Lyons Street NE in Lynwood,Anoka County,MN,27003,45.3421633,-93.0195028,confirmed,,Anoka County Sheriff's Office,Viking Boulevard NE and Lyons Street NE in Lynwood,agency-jurisdiction-anoka-county-sheriff,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,,0,,50,false,false,false,,
alpr-reported-anoka-county-sheriff-s-office-jay-street-nw-and-bunker-lake-boulevard-nw-in-andover,Reported ALPR — Jay Street NW and Bunker Lake Boulevard NW in Andover,Anoka County,MN,27003,45.21939582,-93.31156612,confirmed,,Anoka County Sheriff's Office,Jay Street NW and Bunker Lake Boulevard NW in Andover,agency-jurisdiction-anoka-county-sheriff,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,cross-alpr-reported-anoka-county-sheriff-s-office-jay-street-nw-and-bunker-lake-boulevard-nw-in-andover,1,29,50,false,false,false,,
alpr-reported-anoka-county-sheriff-s-office-bunker-lake-boulevard-nw-and-quinn-street-nw-in-andover,Reported ALPR — Bunker Lake Boulevard NW and Quinn Street NW in Andover,Anoka County,MN,27003,45.21961954000001,-93.3203024,confirmed,,Anoka County Sheriff's Office,Bunker Lake Boulevard NW and Quinn Street NW in Andover,agency-jurisdiction-anoka-county-sheriff,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,cross-alpr-reported-anoka-county-sheriff-s-office-bunker-lake-boulevard-nw-and-quinn-street-nw-in-andover,1,21,50,false,false,false,,
alpr-reported-anoka-county-sheriff-s-office-lake-drive-ne-and-freeway-drive-ne-in-columbus,Reported ALPR — Lake Drive NE and Freeway Drive NE in Columbus,Anoka County,MN,27003,45.25047075,-93.02992655,confirmed,,Anoka County Sheriff's Office,Lake Drive NE and Freeway Drive NE in Columbus,agency-jurisdiction-anoka-county-sheriff,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,,0,,50,false,false,false,,
alpr-reported-anoka-police-department-west-main-street-and-green-avenue,Reported ALPR — West Main Street and Green Avenue,Anoka County,MN,27003,45.203574,-93.3989565,confirmed,,Anoka Police Department,West Main Street and Green Avenue,agency-jurisdiction-anoka-police,osm-intersection,false,"Minn. Stat. § 13.824, subd. 8",https://dps.mn.gov/divisions/bca/data-and-reports/agencies-use-lprs-lpr,,0,,50,false,false,false,,
