id,name,county,state,countyFips,lat,lng,confidence,sourceDate,operator,operatorType,manufacturer,cameraType,direction,zone,surveillance,osmId,osmUrl,crossSourceSiteId,crossSourceCount,crossSourceMeters,crossSourceThresholdM,crossSourceContested,crossSourceAnchorAmbiguous,crossSourceAgencyName
alpr-osm-33331297,ALPR camera — (Edina Police),Hennepin County,MN,27053,44.908913,-93.339218,probabilistic,,(Edina Police),Police department,Flock Safety,fixed,0,traffic,public,33331297,https://www.openstreetmap.org/node/33331297,,0,,50,false,false,
alpr-osm-1685994889,ALPR camera,Beltrami County,MN,27007,47.4343337,-94.8690924,probabilistic,,,Not recorded,Flock Safety,fixed,,traffic,public,1685994889,https://www.openstreetmap.org/node/1685994889,,0,,50,false,false,
alpr-osm-4011704792,ALPR camera,Ramsey County,MN,27123,45.0958797,-93.2188681,probabilistic,,,Not recorded,Flock Safety,fixed,340,traffic,traffic,4011704792,https://www.openstreetmap.org/node/4011704792,cross-alpr-reported-mounds-view-police-department-silver-lake-road-at-woodcrest-drive-northbound,1,33,50,false,false,Mounds View Police Department
alpr-osm-4184747855,ALPR camera — St louis park PD,Hennepin County,MN,27053,44.9675125,-93.3517561,probabilistic,,St louis park PD,Police department,Flock Safety,fixed,180,,traffic,4184747855,https://www.openstreetmap.org/node/4184747855,,0,,50,false,false,
alpr-osm-5903676347,ALPR camera,Hennepin County,MN,27053,45.1075494,-93.3903872,probabilistic,,,Not recorded,Flock Safety,fixed,141,traffic,public,5903676347,https://www.openstreetmap.org/node/5903676347,,0,,50,false,false,
alpr-osm-8577448251,ALPR camera,Steele County,MN,27147,44.0952781,-93.2475702,probabilistic,,,Not recorded,Flock Safety,fixed,270,traffic,public,8577448251,https://www.openstreetmap.org/node/8577448251,,0,,50,false,false,
alpr-osm-8577448262,ALPR camera,Steele County,MN,27147,44.0948174,-93.2411994,probabilistic,,,Not recorded,Flock Safety,fixed,54,traffic,public,8577448262,https://www.openstreetmap.org/node/8577448262,,0,,50,false,false,
alpr-osm-10118113557,ALPR camera,Becker County,MN,27005,46.8188776,-95.8531688,probabilistic,,,Not recorded,,,180,residential,private,10118113557,https://www.openstreetmap.org/node/10118113557,,0,,50,false,false,
alpr-osm-12335591443,ALPR camera — Eagan,Dakota County,MN,27037,44.7900944,-93.2194531,probabilistic,,Eagan,Other or unclassified,,fixed,60,traffic,traffic,12335591443,https://www.openstreetmap.org/node/12335591443,,0,,50,false,false,
alpr-osm-12336223737,ALPR camera — Stillwater Police Department,Washington County,MN,27163,45.0532652,-92.8032164,probabilistic,,Stillwater Police Department,Police department,,fixed,195,traffic,traffic,12336223737,https://www.openstreetmap.org/node/12336223737,,0,,50,false,false,
alpr-osm-12337393374,ALPR camera — Eagan,Dakota County,MN,27037,44.7902553,-93.2047251,probabilistic,,Eagan,Other or unclassified,,fixed,240,traffic,traffic,12337393374,https://www.openstreetmap.org/node/12337393374,,0,,50,false,false,
alpr-osm-12337965797,ALPR camera — University of Minnesota Police Department,Hennepin County,MN,27053,44.9747728,-93.2247682,probabilistic,,University of Minnesota Police Department,Police department,Flock Safety,fixed,155,traffic,public,12337965797,https://www.openstreetmap.org/node/12337965797,,0,,50,false,false,
alpr-osm-12338315750,ALPR camera,Washington County,MN,27163,44.9450356,-92.9039987,probabilistic,,,Not recorded,,fixed,260,traffic,traffic,12338315750,https://www.openstreetmap.org/node/12338315750,,0,,50,false,false,
alpr-osm-12338315751,ALPR camera,Washington County,MN,27163,44.9447464,-92.9028513,probabilistic,,,Not recorded,,fixed,80,traffic,traffic,12338315751,https://www.openstreetmap.org/node/12338315751,cross-alpr-reported-woodbury-police-department-hudson-road-at-woodbury-drive-eastbound,1,40,50,false,false,Woodbury Police Department
alpr-osm-12338315752,ALPR camera — Flock Safety,Washington County,MN,27163,44.9416068,-92.9345482,probabilistic,,Flock Safety,Vendor-operated (Flock),,fixed,260,traffic,traffic,12338315752,https://www.openstreetmap.org/node/12338315752,,0,,50,false,false,
alpr-osm-12338315753,ALPR camera — Flock Safety,Washington County,MN,27163,44.9251755,-92.9626198,probabilistic,,Flock Safety,Vendor-operated (Flock),,fixed,25,traffic,traffic,12338315753,https://www.openstreetmap.org/node/12338315753,,0,,50,false,false,
alpr-osm-12338315754,ALPR camera,Washington County,MN,27163,44.9418186,-92.9038545,probabilistic,,,Not recorded,,fixed,260,traffic,traffic,12338315754,https://www.openstreetmap.org/node/12338315754,cross-alpr-reported-woodbury-police-department-commerce-drive-at-woodbury-drive,1,36,50,false,false,Woodbury Police Department
alpr-osm-12338315755,ALPR camera,Washington County,MN,27163,44.9481677,-92.9315286,probabilistic,,,Not recorded,,fixed,70,traffic,traffic,12338315755,https://www.openstreetmap.org/node/12338315755,,0,,50,false,false,
alpr-osm-12338315756,ALPR camera — Flock Safety,Washington County,MN,27163,44.924731,-92.9594085,probabilistic,,Flock Safety,Vendor-operated (Flock),,fixed,330,traffic,traffic,12338315756,https://www.openstreetmap.org/node/12338315756,cross-alpr-reported-woodbury-police-department-queens-drive-at-valley-creek-road,1,30,50,false,false,Woodbury Police Department
alpr-osm-12338315757,ALPR camera — Flock Safety,Washington County,MN,27163,44.9255202,-92.965938,probabilistic,,Flock Safety,Vendor-operated (Flock),,fixed,355,traffic,traffic,12338315757,https://www.openstreetmap.org/node/12338315757,cross-alpr-reported-woodbury-police-department-woodlane-drive-at-valley-creek-road,1,29,50,false,false,Woodbury Police Department
alpr-osm-12338315758,ALPR camera,Washington County,MN,27163,44.9452923,-92.8995976,probabilistic,,,Not recorded,Flock Safety,fixed,15,traffic,public,12338315758,https://www.openstreetmap.org/node/12338315758,,0,,50,false,false,
alpr-osm-12338315759,ALPR camera — Flock Safety,Washington County,MN,27163,44.9413461,-92.9334245,probabilistic,,Flock Safety,Vendor-operated (Flock),,fixed,80,traffic,traffic,12338315759,https://www.openstreetmap.org/node/12338315759,,0,,50,false,false,
alpr-osm-12345076316,ALPR camera — Eagan,Dakota County,MN,27037,44.8046079,-93.1944414,probabilistic,,Eagan,Other or unclassified,,fixed,240,traffic,traffic,12345076316,https://www.openstreetmap.org/node/12345076316,,0,,50,false,false,
alpr-osm-12345076317,ALPR camera — Eagan,Dakota County,MN,27037,44.8270752,-93.1667537,probabilistic,,Eagan,Other or unclassified,,fixed,60,traffic,traffic,12345076317,https://www.openstreetmap.org/node/12345076317,cross-alpr-reported-eagan-police-department-duckwood-drive-at-pilot-knob-road-eastbound,1,43,50,false,false,Eagan Police Department
