id,name,county,state,countyFips,lat,lng,confidence,sourceDate,operator,city,street,zip,propertyUse,permitInfo,notes,status,powerSource,resistanceStatus,campaignUrl,petitionUrl,groupName,campaignSource
dc-mn-united-healthcare-services-inc-golden-valley,United HealthCare Services Inc,Hennepin County,MN,27053,44.986269,-93.362614,reported,,United HealthCare Services Inc,Golden Valley,6300 Olson Memorial Hwy,55427,,,Not in an environmental justice area of concern,,,,,,,
dc-mn-uhg-it-plymouth-plymouth,UHG-IT Plymouth,Hennepin County,MN,27053,45.059916,-93.41167,reported,,UHG-IT Plymouth,Plymouth,6150 Trenton Ln N MN013-N110,55442,,,Within 1 mile of a census tract where at least 35% of people reported income less than 200% of the federal poverty level; Within 1 mile of a census tract with 40% or more people of color,,,,,,,
dc-mn-supercomputer-llc-minneapolis,Supercomputer LLC,Hennepin County,MN,27053,44.975147,-93.250433,reported,,Supercomputer LLC,Minneapolis,1200 Washington Ave S Ste 200,55415,,,Within 1/2 mile of a census tract where at least 35% of people reported income less than 200% of the federal poverty level; Within 1/2 mile of a census tract where at least 40% of the population over age 5 has limited English proficiency; Within 1/2 mile,,,,,,,
dc-mn-general-mills-data-center-minneapolis-minneapolis,General Mills Data Center - Minneapolis,Hennepin County,MN,27053,44.985507,-93.254013,reported,,General Mills Data Center - Minneapolis,Minneapolis,224 2nd St SE,55414,,,Within 1 mile of a census tract where at least 40% of the population over age 5 has limited English proficiency; Within 1 mile of a census tract with 40% or more people of color; Within 1/2 mile of a census tract where at least 35% of people reported inc,,,,,,,
dc-mn-innovize-vadnais-heights,Innovize,Ramsey County,MN,27123,45.0765,-93.0812,reported,,Innovize,Vadnais Heights,500 Oak Grove Pkwy,55127,,,Not in an environmental justice area of concern,,,,,,,
dc-mn-ramsey-county-microfilm-dept-saint-paul,Ramsey County Microfilm Dept,Ramsey County,MN,27123,44.943361,-93.094969,reported,,Ramsey County Microfilm Dept,Saint Paul,50 Kellogg Blvd W Ste 310,55102,,,Within 1/2 mile of a census tract where at least 35% of people reported income less than 200% of the federal poverty level; Within 1/2 mile of a census tract with 40% or more people of color,,,,,,,
dc-mn-databank-holdings-edina,Databank Holdings,Hennepin County,MN,27053,44.86282,-93.330367,reported,,Databank Holdings,Edina,7700 France Ave,55435,,,Not in an environmental justice area of concern,,,,,,,
dc-mn-rw-data-inc-brooklyn-park,RW Data Inc,Hennepin County,MN,27053,45.105334,-93.334354,reported,,RW Data Inc,Brooklyn Park,4084 83rd Ave N Ste 1,55443,,,In a census tract with 40% or more people of color; Within 1/2 mile of a census tract where at least 35% of people reported income less than 200% of the federal poverty level,,,,,,,
dc-mn-ceridian-corp-bloomington,Ceridian Corp,Hennepin County,MN,27053,44.854323,-93.224849,reported,,Ceridian Corp,Bloomington,3311 E Old Shakopee Rd,55425,,,In a census tract where at least 35% of people reported income less than 200% of the federal poverty level; In a census tract with 40% or more people of color,,,,,,,
dc-mn-fis-global-hopkins,FIS Global,Hennepin County,MN,27053,44.915171,-93.4031,reported,,FIS Global,Hopkins,601 2nd Ave S,55343,,,In a census tract with 40% or more people of color; Within 1 mile of a census tract where at least 35% of people reported income less than 200% of the federal poverty level,,,,,,,
